region,Gold,Silver,Bronze,total
USA,1035.0,802.0,708.0,2545.0
Russia,592.0,498.0,487.0,1577.0
Germany,444.0,457.0,491.0,1392.0
UK,278.0,317.0,300.0,895.0
France,234.0,256.0,287.0,777.0
China,228.0,163.0,154.0,545.0
Italy,219.0,191.0,198.0,608.0
Hungary,178.0,154.0,172.0,504.0
Sweden,150.0,175.0,188.0,513.0
Australia,150.0,171.0,197.0,518.0
Japan,142.0,134.0,161.0,437.0
Finland,104.0,86.0,120.0,310.0
South Korea,90.0,85.0,89.0,264.0
Netherlands,88.0,97.0,114.0,299.0
Romania,88.0,95.0,120.0,303.0
Cuba,77.0,67.0,70.0,214.0
Poland,69.0,87.0,134.0,290.0
Canada,64.0,104.0,137.0,305.0
Czech Republic,64.0,68.0,75.0,207.0
Norway,59.0,51.0,48.0,158.0
Switzerland,58.0,82.0,69.0,209.0
Bulgaria,51.0,86.0,80.0,217.0
Denmark,49.0,81.0,82.0,212.0
New Zealand,47.0,27.0,44.0,118.0
Belgium,44.0,59.0,63.0,166.0
Spain,44.0,63.0,41.0,148.0
Greece,42.0,57.0,52.0,151.0
Turkey,40.0,27.0,28.0,95.0
Ukraine,35.0,32.0,59.0,126.0
Serbia,31.0,39.0,37.0,107.0
Kenya,31.0,38.0,31.0,100.0
Brazil,30.0,36.0,62.0,128.0
Austria,26.0,40.0,42.0,108.0
South Africa,25.0,33.0,30.0,88.0
Ethiopia,22.0,9.0,22.0,53.0
Jamaica,22.0,32.0,22.0,76.0
Argentina,21.0,25.0,28.0,74.0
Kazakhstan,19.0,22.0,29.0,70.0
Iran,18.0,21.0,29.0,68.0
North Korea,16.0,15.0,23.0,54.0
Mexico,13.0,24.0,30.0,67.0
Belarus,13.0,28.0,43.0,84.0
Croatia,11.0,10.0,12.0,33.0
Thailand,9.0,8.0,13.0,30.0
Slovakia,9.0,11.0,8.0,28.0
Estonia,9.0,9.0,16.0,34.0
India,9.0,7.0,12.0,28.0
Ireland,9.0,11.0,13.0,33.0
Uzbekistan,9.0,7.0,17.0,33.0
Georgia,8.0,6.0,18.0,32.0
Egypt,7.0,8.0,12.0,27.0
Indonesia,7.0,12.0,11.0,30.0
Azerbaijan,7.0,12.0,25.0,44.0
Bahamas,6.0,2.0,6.0,14.0
Lithuania,6.0,6.0,13.0,25.0
Morocco,6.0,5.0,12.0,23.0
Algeria,5.0,4.0,8.0,17.0
Slovenia,5.0,8.0,10.0,23.0
Colombia,5.0,9.0,14.0,28.0
Portugal,4.0,8.0,12.0,24.0
Luxembourg,4.0,2.0,0.0,6.0
Latvia,3.0,11.0,5.0,19.0
Nigeria,3.0,8.0,13.0,24.0
Zimbabwe,3.0,4.0,1.0,8.0
Tunisia,3.0,3.0,7.0,13.0
Cameroon,3.0,1.0,1.0,5.0
Taiwan,3.0,7.0,14.0,24.0
Pakistan,3.0,3.0,4.0,10.0
Dominican Republic,3.0,2.0,2.0,7.0
Trinidad,3.0,5.0,13.0,21.0
Venezuela,2.0,3.0,10.0,15.0
Uganda,2.0,3.0,2.0,7.0
Uruguay,2.0,2.0,6.0,10.0
Armenia,2.0,5.0,9.0,16.0
Chile,2.0,7.0,4.0,13.0
Mongolia,2.0,10.0,14.0,26.0
Kosovo,1.0,0.0,0.0,1.0
Israel,1.0,1.0,7.0,9.0
Puerto Rico,1.0,2.0,6.0,9.0
Bahrain,1.0,1.0,1.0,3.0
Peru,1.0,3.0,0.0,4.0
Panama,1.0,0.0,2.0,3.0
Ivory Coast,1.0,1.0,1.0,3.0
Mozambique,1.0,0.0,1.0,2.0
Vietnam,1.0,3.0,0.0,4.0
Syria,1.0,2.0,2.0,5.0
United Arab Emirates,1.0,0.0,1.0,2.0
Grenada,1.0,1.0,0.0,2.0
Tajikistan,1.0,1.0,2.0,4.0
Ecuador,1.0,1.0,0.0,2.0
